22.03.2019, 09:17:27, 212.88.152.150, GET, /apps/ASCard/login.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
22.03.2019, 09:17:30, 212.88.152.150, POST, /apps/ASCard/login.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 09:17:31, 212.88.152.150, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 09:17:52, 212.88.152.150, GET, /apps/ASCard/gui_select_enemy_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
22.03.2019, 09:17:54, 212.88.152.150, GET, /apps/ASCard/gui_assign_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_enemy_unit.php
22.03.2019, 09:17:59, 212.88.152.150, GET, /apps/ASCard/gui_options.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
22.03.2019, 09:18:00, 212.88.152.150, GET, /apps/ASCard/gui_create_player.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_options.php
22.03.2019, 09:18:01, 212.88.152.150, GET, /apps/ASCard/gui_create_mech.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_player.php
22.03.2019, 09:18:04, 212.88.152.150, GET, /apps/ASCard/gui_assign_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_mech.php
22.03.2019, 09:18:09, 212.88.152.150, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
22.03.2019, 09:18:11, 212.88.152.150, GET, /apps/ASCard/gui_play_mech.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
22.03.2019, 09:18:11, 212.88.152.150, GET, /apps/ASCard/save.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=1&chosenmech=1
22.03.2019, 09:18:17, 212.88.152.150, GET, /apps/ASCard/save.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=1&chosenmech=1
22.03.2019, 09:18:17, 212.88.152.150, GET, /apps/ASCard/save.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=1&chosenmech=1
22.03.2019, 09:18:18, 212.88.152.150, GET, /apps/ASCard/save.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=1&chosenmech=1
22.03.2019, 11:00:25, 212.88.152.150, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/index.html
22.03.2019, 11:00:25, 212.88.152.150, GET, /apps/ASCard/login.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
22.03.2019, 11:00:29, 212.88.152.150, POST, /apps/ASCard/login.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 11:00:29, 212.88.152.150, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 11:02:00, 212.88.152.150, GET, /apps/ASCard/login.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/cms/home.php
22.03.2019, 11:02:03, 212.88.152.150, POST, /apps/ASCard/login.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 11:02:04, 212.88.152.150, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 11:12:27, 212.88.152.150, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 12:23:06, 46.114.1.82, GET, /apps/ASCard/login.php, Mozilla/5.0 (Linux; Android 8.0.0; H3113) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_unit.php?unit=2&chosenmech=3
22.03.2019, 12:23:27, 46.114.1.82, POST, /apps/ASCard/login.php, Mozilla/5.0 (Linux; Android 8.0.0; H3113) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 12:23:28, 46.114.1.82, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 8.0.0; H3113) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 12:23:56, 46.114.1.82, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 8.0.0; H3113) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/index.html
22.03.2019, 12:24:35, 212.88.152.150, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, 
22.03.2019, 12:24:42, 212.88.152.150, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 12:24:42, 212.88.152.150, GET, /apps/ASCard/login.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
